id,material_name
1801915,Deca GE17 Branco Gelo Cerâmica
1801919,Deca GE17 Branco Gelo Plástico
3299291,Deca GE17 Branco Gelo Poliester
1801924,Deca GE17 Branco Gelo Poliéster
4103965,Deca GL MT Gold Matte Metal
3384500,Deca GLD Gold Metal
3382623,Deca MF22 Marrom Fosco Cerâmica
3384498,Deca MF22 Marrón Fosco Cerâmica
1801931,Deca VD60 Verde Malva Ceramica
3637009,Deca VD60 Verde Malva Cerâmica
1801926,Deca VD60 Verde Malva Plástico
39,Default
3637087,Default 2
2338,Default Floor
2728,Default Floor Area Face
1427652,Default Form
47,Default Light Source
2585599,Default Mass
1427651,Default Mass Floor
1039645,Default New Material
1034123,Default New Material(1)
41,Default Roof
40,Default Wall
2692,Default Zoning Envelope
3637057,Default metal
3637164,Dero Bike Rack Deep Red
1412842,Designer Chair - Caster
1412847,Designer Chair - Frame
1412845,Designer Chair - Leather Fabric
1412843,Designer Chair - Leg
1412849,Designer Chair - Walnut
3564221,Door -  Frame/Mullion
3403489,Door - Architrave
3302524,Door - Frame
3403482,Door - Frame/Mullion
3403481,Door - Handle
3302523,Door - Panel
3403491,Door Handle - Aluminium
1499309,Dourado
554128,Ductile Iron
2492791,Durafloor_Manta_Eco 60
2492747,Durafloor_Nature_Carvalho_Memphis_Acessórios
2492793,Durafloor_Nature_Carvalho_Memphis_Pag-2/3
2492748,Durafloor_Nature_Cerezo_Carmel_Acessórios
2492792,Durafloor_Nature_Cerezo_Carmel_Pag-1/2
2492749,Durafloor_Nature_Medina_Acessórios
2492789,Durafloor_Nature_Medina_Pag-1/2
2492750,Durafloor_Ritz_Peroba_Gris_Acessórios
2492794,Durafloor_Ritz_Peroba_Gris_Pag-2/3
2492746,Durafloor_Unique_Toledo_Acessórios
2492788,Durafloor_Unique_Toledo_Pag-1/2
2590938,Dynamo
2590939,DynamoError
4387,ELEMENTO VAZADO EM CONCRETO
3158,EMBOÇO
3311866,EQ-Cozinha-Maquinas
3311865,EQ-Cozinha-Maquinas-Butoes
3311869,EQ-Cozinha-Maquinas-Letras
3311870,EQ-Cozinha-Maquinas-Luz
3311868,EQ-Cozinha-Maquinas-Painel
3311867,EQ-Cozinha-Maquinas-Porta
3166,ESPELHO
2083875,Earth
4626610,Eletroduto corrugado PEAD
3637145,Elevator Car
3637143,Elevator Rail Attachment
3637144,Elevator Structure
2381524,Eliane Allier PO 59X118.2
2380388,Eliane Marmo Light PO 80x160
1427668,Erdschicht
4104006,Error Box
2607865,Espaços analíticos
3409479,Esquadrias - Aluminio
3409482,Esquadrias - Aluminio fechadura
3533918,Esquadrias - Pedra
3303033,Esquadrias - Vidro
3005485,Estofado Azul Escuro
1514599,Estofado Preto
1512200,Estofado Vermelho
186278,FAIXA AZUL PNE
2478,FAIXA DE ESTACIONAMENTO AMARELA
186279,FAIXA DE ESTACIONAMENTO BRANCA
3536,FARÓIS DIANTEIROS
3543,FARÓIS TRASEIROS
4133,FECHAMENTO EM MADEIRA
4626640,FELT
3163,FERRO
4144,FIBRA DE VIDRO AZUL
1043501,FIBRA DE VIDRO CINZA
3564,FORRO DE PINUS 10 cm COM VERNIZ FOSCO
3563,FORRO DE PVC BRANCO 10 cm
3343453,Fabric - Green
3636980,Faixa de estacionamento
2436135,Fakro - aluminium
2436034,Fakro - verre
2436033,Fakro – cadre - bois de pin - RAL 9010
2436080,Fakro – cassette solaire
2436036,Fakro – poignée – aluminium
2436032,Fakro – tôlerie – RAL7022
3519293,Fascia
4032,Fase - A Demolir
4008,Fase - Demo
3885,Fase - Demolido
3886,Fase - Existente
2357375,Fase - Existente
2207903,Fase - Nova
2283082,Fase - Nueva
2283077,Fase - Temporal
4009,Fase - Temporária
3887,Fase - Temporário
2283096,Fase-Derribo
2283097,Fase-Existente
2283098,Fase-Temporal
1387143,Feltro - 141 Peonia
1934211,Fenêtre - Appui
1934212,Fenêtre - Cadre
1934209,Fenêtre - Vitrage
2045890,Ferro Marrom
1959850,Ferro forjado
1553985,Ferro piatina
3637053,"Ferro, fundido"
1508635,Fibra Sintética Marrom
1508636,Fibra Sintética Preto
3363800,Fibra de Vidro - Sodramar
1375971,Fibra sintética avelã
2410678,Fir Green RAL 6009
4626705,Fita de LED
1326420,Fonte luminosa padrão
2207906,Forma padrão
2283086,Forma por defecto
3555780,Forno in acciaio
3403497,Freixo
3555766,GAD - GRANITO -  BRANCO MARFIM - APICOADO
3555770,GAD - LAMINADO - BRANCO
3555767,GAD - MDF LAMINADO - WESTERN
3555769,GAD - METAL - ALUMÍNIO
3555768,GAD - METAL - CROMADO
4132,GEL COAT
2500397,GRANITO
4757,GRANITO POLIDO PRETO (E = 3 cm)
3302023,GRANITO ilha
3637140,GearMaterial
1326273,Gesso
42,Glass
4626762,Glass - Chandelier Bell Shade
4626696,Glass - Frosted
4103998,Glass - Guardian Equipment - Clear
2402138,Glass - Milgard - P516
4626704,Glass - Tech Lighting - LED Lens
3406385,Glass - White Transparent
3637040,"Glass - White, High Luminance"
2410647,Glass 2
2410648,Glass 3
2410649,Glass 4
4626595,"Glass, White, High Luminance"
4626665,Glass-Selux-Solar Panel
4626663,Glass-Selux-SonneLiter Tempered Glass Lens
3637222,Glass_ALUPROF_Clear
3532287,Glazing
4429047,Glulam-Horizontal
4429045,Glulam-Vertical
4626646,Gold
3446195,Gomma
1576934,Granilite cinza
3555782,Granite tiles
3295658,Granito (churrasqueira)
3539832,"Granito, cortado, polido"
4626622,Green RAL 6021
2628840,Grelha
4626623,Grey RAL 7030
3446180,Grigio
3519287,Handle
3637036,Headboards
3520948,Herman Miller - Finish G1 Graphite
3520950,Herman Miller - Finish XT Titanium
3520949,Herman Miller - Pellicle 3D01 Classic Carbon
3520951,Herman Miller - Pellicle 3V01 Classic Zinc
3311856,High Gloss Black
4104016,Hot Lever
1856745,Hvid
3544,INTERIOR
2294,ISOLAMENTO RÍGIDO
2333,ISOLAMENTO SEMI-RÍGIDO
4070,ISOPOR
4626662,Iluminação Própria
1501206,Infravermelho
1419502,Inox
1521580,Inox branco
1520454,Inox preto
1419510,Inox vermelho
3366492,Interior Scheme
4626647,"Iron, Cast"
4626649,Isolante Tranformador
1605464,Itaim - Alumínio Branco
1605456,Itaim - Pintura Eletrostática Preta
1605458,Itaim - Pintura Grafite
1605461,Itaim - Plástico Translúcido
1605459,Itaim - Vidro Lâmpada
4626624,Ivory RAL 1015
1844540,Janela branca
2607883,Janelas operáveis
3533,LATARIA PRETA
3161,LATÃO
3555771,LOGO BRANCO
4626652,LT
4626687,LUMINÁRIA - ESTRUTURA
4626688,LUMINÁRIA - FIO
4626689,LUMINÁRIA - LENTE
1395218,Laca branca
1381192,Laca brilhante branca
1381194,Laca brilhante preta
1381190,Laca brilhante vermelha
2607871,Lajes no eixo
3636976,"Laminado - Marfim, Fosco"
4103956,"Laminate, Navy"
1460906,Laqueado Branco
4104024,Latão
3005491,Leather_Black LC 2
1843455,Legno - Faggio
1843451,Legno - Noce
3637148,Legs
3637163,Lexus ls430 Black Reflective
3637160,Lexus ls430 color
4626761,Light Bulb Glass - Illuminated
3623835,Light Display
4626733,Light Housing Material
4626707,Light Source - LED Bulb (Green)
4626709,Light Source - LED Bulb (Magenta)
4626708,Light Source - LED Bulb (Red)
4626706,Light Source - LED Bulb (White)
4626659,Light bulb
3005482,Linen - White
2850020,"Linen, White"
4626607,Linha Corrugado PVC Amarelo Antichamas
4626606,Linha Corrugado PVC Reforçado Laranja Antichamas
1380016,Linho
2647669,Linho azul
1325628,"Linho, branco"
3637069,Liquid - Red Wine
3636992,Loajota
3519290,Logo
4095,LÃ DE ROCHA 32 kg/m³
4096,LÃ DE VIDRO 10 kg/m³
2199412,MADEIRAMENTO TELHADO
4429,MASSA TERRENO
3150519,MATERIAL cUBA
2335,MDF
1453084,MDF Branco
3170,MEIO-FIO
4946335,MICROCONCRETO
3324,MOGNO COM VERNIZ FOSCO
1047572,Madeira
3005481,Madeira  Bétula tingida
3637154,Madeira - Bétula - Manchada sólida leve com baixo brilho
2202811,Madeira - Forro 2
1757929,Madeira - Pormade - Escurecido
1757927,Madeira - Pormade - Madeira
1792714,Madeira - Pormade - Madeira 02
1792716,Madeira - Pormade - Madeira2 a
1757926,Madeira - Pormade - Natural
3637135,Madeira - Teca
1372751,Madeira Azul
1372748,Madeira Branca
1470336,Madeira Clara
2625065,Madeira Deck
1474796,Madeira Escura
1566930,Madeira Freijó
1566931,Madeira Junco Envelhecido
1498124,Madeira Laminada
1498127,Madeira Laminada - Amarelo
1498128,Madeira Laminada - Azul
1498126,Madeira Laminada - Branco
1498129,Madeira Laminada - Laranja
1498130,Madeira Laminada - Preto
1470337,Madeira Média
2615982,Madeira Pergolado
1493135,Madeira Pinheiro Bravo
1914227,Madeira Pintada Branca
1372742,Madeira Preta
2045888,Madeira Tamburi
1472512,Madeira Vicenza
3636985,"Madeira de Conífera, Madeira"
2732978,Madeira diagonal
2732976,Madeira horizontal
1418573,Madeira marrom
1489836,Madeira vermelha
2732977,Madeira vertical
3637152,Madeira – Manchada
3637025,Madera de Castaño
3519289,Main body
3608297,Mamore
1162629,Marble
1763862,Masonry - Brick
3003796,Materiaal kraan
3003797,Materiaal kraan tussenstuk
4626648,Material Tranformador
3636998,Material de Parede (1)
4626720,Material padrão
2595490,Material pré-definido de cobertura
2280794,Material pré-definido de parede
2848793,Material pré-definido de piso
2649747,Material renderizado 0-0-0
2585751,Material renderizado 0-0-255
2585745,Material renderizado 0-165-0
2585748,Material renderizado 0-165-165
2585743,Material renderizado 0-255-191
2585740,Material renderizado 0-255-255
2585741,Material renderizado 101-101-101
4103954,Material renderizado 118-118-118
2585750,Material renderizado 124-165-0
2585746,Material renderizado 127-127-0
2585739,Material renderizado 127-95-0
4103970,Material renderizado 148-161-149
2585744,Material renderizado 153-153-153
4103973,Material renderizado 154-150-148
4103975,Material renderizado 157-155-153
2585749,Material renderizado 165-165-0
2585752,Material renderizado 165-82-0
4103972,Material renderizado 198-198-198
4103967,Material renderizado 225-225-200
4103971,Material renderizado 228-228-234
2585742,Material renderizado 255-0-0
4946462,Material renderizado 255-0-255
2649766,Material renderizado 255-255-0
4103978,Material renderizado 255-255-101
4103974,Material renderizado 255-255-204
2585601,Material renderizado 255-255-255
4103968,Material renderizado 255-84-84
2585738,Material renderizado 38-19-19
4103977,Material renderizado 66-65-64
2585747,Material renderizado 76-19-0
4103976,Material renderizado 88-102-104
3637078,Materiál rendru 0-0-0
3637079,Materiál rendru 170-170-170
3637082,Materiál rendru 193-193-193
3637076,Materiál rendru 225-225-200
3637081,Materiál rendru 226-226-226
3637083,Materiál rendru 255-204-50
3354667,Materiál rendru 255-255-255
3637080,Materiál rendru 30-30-30
2436173,Matiêre
1395219,Metal
4626760,Metal - Aged Bronze
582225,Metal - Aluminium
1735243,Metal - Aluminum
1747776,Metal - Aluminum - Dorma - Brushed
4042923,Metal - Aço - 345 MPa (1)
4042922,Metal - Aço - ASTM A572 - Grau 50
1317099,Metal - Aço 345 MPa
3636989,Metal - Aço 43-275
3636987,"Metal - Aço inoxidável,Polido"
1959854,"Metal - Aço, Polido"
4103999,Metal - Brass - Guardian Equipment - Chrome Plated
1135582,Metal - Chrome
4626759,Metal - Chrome Polished
3637159,Metal - Dark
3637165,Metal - Dark(1)
4104001,Metal - Guardian Equipment - Brass
1127508,"Metal - Paint Finish - Dark Gray, Matte"
1126891,"Metal - Paint Finish - Dark Grey, Matte"
1127543,"Metal - Paint Finish - Ivory, Glossy"
3539830,"Metal - Paint Finish - Ivory,Glossy"
3637062,"Metal - Painted Finish - Ivory,Matte"
1757930,Metal - Pormade - Alumínio
1785044,Metal - Pormade - Alumínio detalhes
3303038,Metal - Powder Coated Black
3403493,Metal - Powder Coated Bronze
3637169,Metal - Spishantag
3311855,Metal - Stainless Steel
1766191,Metal - Steel
4103934,Metal - Steel - 345 MPa
4491617,Metal - Steel - ASTM A500 - Grade B - Round
4104000,Metal - Steel - Guardian Equipment - Stainless Steel
1127142,"Metal - Steel, Polished"
4626701,Metal - Tech Lighting - Matte Black
4626702,Metal - Tech Lighting - Matte White
4626703,Metal - Tech Lighting - Satin Nickel
4104010,Metal - Viega - Bronze
4104014,Metal - Viega - Copper
4104008,Metal - Viega - Stainless Steel
2050990,Metal Bar
1379175,Metal Branco
1379176,Metal Cinza
4103947,Metal Deck
4626738,Metal Frame
1753859,Metal Polished
1379177,Metal Preto
2958996,Metal Preto Fosco
1379178,Metal Vermelho
1597469,Metal cromado
4626666,Metal-Selux-Solar Panel Trim
3637200,Metal-Stainless_Steel-VIVA-Brushed
3637189,Metal-Stainless_Steel-VIVA-Polished
3637190,Metal-VIVA-Powder_Coat-Gloss_Black-PC-20
3637192,Metal-VIVA-Wire_Mesh-WM-10
3637193,Metal-VIVA-Wire_Mesh-WM-11
3637194,Metal-VIVA-Wire_Mesh-WM-12
3637199,Metal-VIVA-Wire_Mesh-WM-14
3637196,Metal-VIVA-Wire_Mesh-WM-15
3637197,Metal-VIVA-Wire_Mesh-WM-17
3637195,Metal-VIVA-Wire_Mesh-WM-19
3637191,Metal-VIVA-Wire_Mesh-WM-20
3637198,Metal-VIVA-Wire_Mesh-WM-21
1607795,Metal1
3005490,Metal_Chrome Polished
4626717,Metallo - GRIGIO
4626712,Metallo - nero
4626718,"Metallo, verniciato a polvere, bianco"
1494544,Microfibra - Black
1495501,Microfibra - Scarlet
1510586,Microfibra - White
1464625,Microtextura
3637162,Mini cooper tires
3637161,Mini cooper white paint
3555791,Mogno
2483884,Mogno Sasazaki
4626681,Mogno escuro
2628842,Moldura
3637141,MotorHousing
